Name,Team,Position,Tier,Mason Dodd Rank,Expert Rank
Jahmyr Gibbs,DET,RB,S,1,1.13
Bijan Robinson,ATL,RB,S,2,1.88
Ja'Marr Chase,CIN,WR,S,3,3.38
Puka Nacua,LAR,WR,S,4,3.88
Jaxon Smith-Njigba,SEA,WR,S,5,5.63
Christian McCaffrey,SF,RB,A,6,6.00
Jonathan Taylor,IND,RB,A,7,9.13
Amon-Ra St. Brown,DET,WR,A,8,6.88
CeeDee Lamb,DAL,WR,A,9,10.13
Justin Jefferson,MIN,WR,A,10,10.88
Ashton Jeanty,LV,RB,A,11,12.00
James Cook,BUF,RB,A,12,10.25
Devon Achane,MIA,RB,B,13,14.00
Chase Brown,CIN,RB,B,14,12.38
Saquon Barkley,PHI,RB,B,15,15.63
Omarion Hampton,LAC,RB,B,16,14.50
Kenneth Walker,KC,RB,B,17,16.13
Drake London,ATL,WR,B,18,18.75
Nico Collins,HOU,WR,B,19,22.00
Derrick Henry,BAL,RB,B,20,20.38
Brock Bowers,LV,TE,B,21,19.75
A.J. Brown,NE,WR,C,22,21.50
Malik Nabers,NYG,WR,C,23,22.50
Trey McBride,ARI,TE,C,24,27.38
George Pickens,DAL,WR,C,25,24.50
Rashee Rice,KC,WR,C,26,24.88
Chris Olave,NO,WR,C,27,25.75
Kyren Williams,LAR,RB,C,28,31.50
Jeremiyah Love,ARI,RB,C,29,31.13
Javonte Williams,DAL,RB,D,30,32.38
Travis Etienne,NO,RB,D,31,44.13
Breece Hall,NYJ,RB,D,32,30.38
DeVonta Smith,PHI,WR,D,33,30.25
Tee Higgins,CIN,WR,D,34,34.25
Josh Allen,BUF,QB,D,35,37.63
Zay Flowers,BAL,WR,D,36,33.13
Josh Jacobs,GB,RB,D,37,37.13
Tetairoa McMillan,CAR,WR,D,38,41.25
D'Andre Swift,CHI,RB,D,39,46.13
Jaylen Waddle,DEN,WR,D,40,34.88
Emeka Egbuka,TB,WR,D,41,38.88
Garrett Wilson,NYJ,WR,E,42,41.63
Ladd McConkey,LAC,WR,E,43,38.63
Colston Loveland,CHI,TE,E,44,40.13
Bucky Irving,TB,RB,E,45,46.00
Bhayshul Tuten,JAX,RB,E,46,47.88
David Montgomery,HOU,RB,E,47,49.63
Quinshon Judkins,CLE,RB,E,48,50.25
Cam Skattebo,NYG,RB,E,49,45.63
Davante Adams,LAR,WR,E,50,47.75
Jameson Williams,DET,WR,F,51,53.00
Mike Evans,SF,WR,F,52,56.13
Terry McLaurin,WAS,WR,F,53,51.25
Rome Odunze,CHI,WR,F,54,56.88
Lamar Jackson,BAL,QB,F,55,55.75
Luther Burden,CHI,WR,F,56,50.25
Carnell Tate,TEN,WR,F,57,57.25
TreVeyon Henderson,NE,RB,F,58,55.25
Jadarian Price,SEA,RB,F,59,57.00
Christian Watson,GB,WR,F,60,62.25
DJ Moore,BUF,WR,F,61,61.00
Brian Thomas,JAX,WR,G,62,59.50
Tyler Warren,IND,TE,G,63,59.25
Marvin Harrison,ARI,WR,G,64,62.13
Jayden Daniels,WAS,QB,G,65,67.38
Drake Maye,NE,QB,G,66,66.50
Joe Burrow,CIN,QB,G,67,68.88
Jalen Hurts,PHI,QB,G,68,74.88
Jaylen Warren,PIT,RB,G,69,65.50
Rhamondre Stevenson,NE,RB,H,70,77.75
Tony Pollard,TEN,RB,H,71,79.00
Jonathon Brooks,CAR,RB,H,72,76.25
DK Metcalf,PIT,WR,H,73,83.88
Parker Washington,JAX,WR,H,74,65.38
Caleb Williams,CHI,QB,H,75,74.25
Tucker Kraft,GB,TE,H,76,76.13
Sam LaPorta,DET,TE,H,77,80.50
Jordan Addison,MIN,WR,H,78,82.88
Kyle Pitts,ATL,TE,H,79,93.75
Harold Fannin,CLE,TE,H,80,94.00
Quentin Johnston,LAC,WR,I,81,83.38
Courtland Sutton,DEN,WR,I,82,90.50
Makai Lemon,PHI,WR,I,83,81.13
Chris Godwin,TB,WR,I,84,83.75
Michael Pittman,PIT,WR,I,85,82.50
Dak Prescott,DAL,QB,I,86,92.75
Justin Herbert,LAC,QB,I,87,89.50
RJ Harvey,DEN,RB,I,88,92.25
Jordyn Tyson,NO,WR,J,89,101.50
Rico Dowdle,PIT,RB,J,90,91.25
Chuba Hubbard,CAR,RB,J,91,94.63
Stefon Diggs,WAS,WR,J,92,88.13
Blake Corum,LAR,RB,J,93,98.38
J.K. Dobbins,DEN,RB,J,94,85.38
Rachaad White,WAS,RB,J,95,92.88
Jordan Mason,MIN,RB,J,96,93.75
Alec Pierce,IND,WR,J,97,88.63
Wan'Dale Robinson,TEN,WR,J,98,99.88
Michael Wilson,ARI,WR,J,99,90.38
Patrick Mahomes,KC,QB,J,100,108.63
Trevor Lawrence,JAX,QB,K,101,85.50
Jayden Reed,GB,WR,K,102,106.75
Xavier Worthy,KC,WR,K,103,107.50
KC Concepcion,CLE,WR,K,104,101.38
Jaxson Dart,NYG,QB,K,105,103.63
Brock Purdy,SF,QB,K,106,103.50
Kyler Murray,MIN,QB,K,107,117.13
Bo Nix,DEN,QB,K,108,106.88
Matthew Stafford,LAR,QB,K,109,113.13
De'Zhaun Stribling,SF,WR,K,110,122.38
Jared Goff,DET,QB,K,111,114.88
Jordan Love,GB,QB,K,112,139.88
Kenneth Gainwell,TB,RB,K,113,108.63
George Kittle,SF,TE,K,114,105.88
Matthew Golden,GB,WR,K,115,115.38
Jakobi Meyers,JAX,WR,K,116,120.88
Deebo Samuel,SF,WR,K,117,114.88
Jacory Croskey-Merritt,WAS,RB,K,118,102.00
Baker Mayfield,TB,QB,K,119,129.75
Travis Kelce,KC,TE,K,120,119.00
Tyler Shough,NO,QB,K,121,133.38
Kyle Monangai,CHI,RB,K,122,105.75
Josh Downs,IND,WR,K,123,98.50
Aaron Jones,MIN,RB,K,124,116.75
Mark Andrews,BAL,TE,K,125,137.75
Chris Rodriguez,JAX,RB,K,126,130.00
Jake Ferguson,DAL,TE,K,127,128.25
Jalen Coker,CAR,WR,K,128,124.38
Dalton Kincaid,BUF,TE,K,129,132.25
Malik Willis,MIA,QB,K,130,137.88
Isaiah Likely,NYG,TE,K,131,130.88
Romeo Doubs,NE,WR,K,132,123.00
Tyler Allgeier,ARI,RB,K,133,144.00
Keenan Allen,IND,WR,K,134,152.00
Zach Charbonnet,SEA,RB,K,135,164.00
Dallas Goedert,PHI,TE,K,136,136.50
Khalil Shakir,BUF,WR,K,137,138.50
Cam Ward,TEN,QB,K,138,161.13
Rashid Shaheed,SEA,WR,K,139,141.75
Tank Dell,HOU,WR,K,140,182.13
Sam Darnold,SEA,QB,K,141,159.50
C.J. Stroud,HOU,QB,K,142,158.25
Woody Marks,HOU,RB,K,143,139.75
Oronde Gadsden,LAC,TE,K,144,160.63
Daniel Jones,IND,QB,K,145,161.13
Omar Cooper Jr.,NYJ,WR,K,146,150.50
Hunter Henry,NE,TE,K,147,162.13
Travis Hunter,JAX,WR,K,148,123.50
Keaton Mitchell,LAC,RB,K,149,141.38
Brenton Strange,JAX,TE,K,150,153.00
Jauan Jennings,MIN,WR,K,151,195.88
Jonah Coleman,DEN,RB,K,152,134.13
Juwan Johnson,NO,TE,K,153,152.00
Jalen Nailor,LV,WR,K,154,173.38
Bryce Young,CAR,QB,K,155,167.38
T.J. Hockenson,MIN,TE,K,156,168.00
Chig Okonkwo,WAS,TE,K,157,152.00
Tre Tucker,LV,WR,K,158,158.13
Tank Bigsby,PHI,RB,K,159,149.00
Isiah Pacheco,DET,RB,K,160,157.50
Tyjae Spears,TEN,RB,K,161,167.50
Denzel Boston,CLE,WR,K,162,130.75
Jalen McMillan,TB,WR,K,163,152.00
Ryan Flournoy,DAL,WR,K,164,185.50
Kenyon Sadiq,NYJ,TE,K,165,168.50
Brian Robinson,ATL,RB,K,166,169.38
Tre Harris,LAC,WR,K,167,173.50
Isaac TeSlaa,DET,WR,K,168,196.75
Dalton Schultz,HOU,TE,K,169,173.00
Braelon Allen,NYJ,RB,K,170,193.75
Fernando Mendoza,LV,QB,K,171,212.25
Zachariah Branch,ATL,WR,K,172,189.00
Ray Davis,BUF,RB,K,173,192.25
Alvin Kamara,NO,RB,K,174,162.88
AJ Barner,SEA,TE,K,175,170.00
Aaron Rodgers,PIT,QB,K,176,197.25
Jerry Jeudy,CLE,WR,K,177,194.25
Gunnar Helm,TEN,TE,K,178,196.00
Geno Smith,NYJ,QB,K,179,212.50
Germie Bernard,PIT,WR,K,180,193.63
Adonai Mitchell,NYJ,WR,K,181,204.13
Calvin Ridley,TEN,WR,K,182,188.86
Tyrone Tracy,NYG,RB,K,183,152.50
Malik Washington,MIA,WR,K,184,185.25
Greg Dulcich,MIA,TE,K,185,207.38
Cade Otton,TB,TE,K,186,207.50
Dylan Sampson,CLE,RB,K,187,164.00
Ted Hurst,TB,WR,K,188,214.13
Antonio Williams,WAS,WR,K,189,184.88
Dontayvion Wicks,PHI,WR,K,190,213.71
Sean Tucker,TB,RB,K,191,174.86
Darnell Mooney,NYG,WR,K,192,184.29
Pat Freiermuth,PIT,TE,K,193,202.88
Cooper Kupp,SEA,WR,K,194,231.00
Kaelon Black,SF,RB,K,195,231.38
Eli Stowers,PHI,TE,K,196,211.71
Jacoby Brissett,ARI,QB,K,197,200.50
Nicholas Singleton,TEN,RB,K,198,181.38
Najee Harris,NYG,RB,K,199,199.75
Emmett Johnson,KC,RB,K,200,186.29
Terrance Ferguson,LAR,TE,K,201,194.13
Elijah Sarratt,BAL,WR,K,202,205.25
Troy Franklin,DEN,WR,K,203,205.14
Tua Tagovailoa,ATL,QB,K,204,223.13
David Njoku,LAC,TE,K,205,200.00
Pat Bryant,DEN,WR,K,206,215.75
Mike Washington Jr.,LV,RB,K,207,189.00
Mike Gesicki,CIN,TE,K,208,229.63
Jaylin Noel,HOU,WR,K,209,214.88
Kaytron Allen,WAS,RB,K,210,180.63
Kayshon Boutte,NE,WR,K,211,193.14
MarShawn Lloyd,GB,RB,K,212,169.75
Tyreek Hill,,WR,K,213,247.00
Jaydon Blue,DAL,RB,K,214,198.25
Brandon Aiyuk,SF,WR,K,215,237.60
Chris Bell,MIA,WR,K,216,201.88
Malachi Fields,NYG,WR,K,217,214.57
Tory Horton,SEA,WR,K,218,222.33
Keon Coleman,BUF,WR,K,219,215.60
George Holani,SEA,RB,K,220,224.80
Rashod Bateman,BAL,WR,K,221,226.57
Christian Kirk,SF,WR,K,222,219.60
Colby Parkinson,LAR,TE,K,223,237.67
Tyquan Thornton,KC,WR,K,224,221.17
Shedeur Sanders,CLE,QB,K,225,238.63
Devaughn Vele,NO,WR,K,226,228.50
Darnell Washington,PIT,TE,K,227,249.13
Demond Claiborne,MIN,RB,K,228,193.43
Justice Hill,BAL,RB,K,229,218.86
Deshaun Watson,CLE,QB,K,230,239.50
Evan Engram,DEN,TE,K,231,235.43
Kimani Vidal,LAC,RB,K,232,202.13
Ja'Kobi Lane,BAL,WR,K,233,187.38
Michael Penix,ATL,QB,K,234,241.13
Skyler Bell,BUF,WR,K,235,224.17
Andrei Iosivas,CIN,WR,K,236,233.57
Jake Tonges,SF,TE,K,237,244.67
Jordan James,SF,RB,K,238,214.14
Emanuel Wilson,SEA,RB,K,239,225.00
Zavion Thomas,CHI,WR,K,240,285.25
Jack Bech,LV,WR,K,241,217.00
Michael Mayer,LV,TE,K,242,256.29
Chimere Dike,TEN,WR,K,243,219.50
James Conner,ARI,RB,K,244,217.29
Darius Slayton,NYG,WR,K,245,214.60
Kirk Cousins,LV,QB,K,246,246.88
Theo Johnson,NYG,TE,K,247,249.67
Samaje Perine,CIN,RB,K,248,222.00
Carson Beck,ARI,QB,K,249,246.14
Justin Fields,KC,QB,K,250,262.33
J.J. McCarthy,MIN,QB,K,251,258.50
Mac Jones,SF,QB,K,252,259.00
Anthony Richardson,IND,QB,K,253,253.00
Jameis Winston,NYG,QB,K,254,303.67
Jaylen Wright,MIA,RB,K,255,239.40
Marcus Mariota,WAS,QB,K,256,305.67
Malik Davis,DAL,RB,K,257,267.75
LeQuint Allen,JAX,RB,K,258,242.80
Caleb Douglas,MIA,WR,K,-,177.33
Cyrus Allen,KC,WR,K,-,190.71
Chris Brooks,GB,RB,K,-,193.50
Devin Singletary,NYG,RB,K,-,194.50
Brashard Smith,KC,RB,K,-,194.67
Ollie Gordon II,MIA,RB,K,-,204.00
Elic Ayomanor,TEN,WR,K,-,212.33
Adam Randall,BAL,RB,K,-,213.50
Calvin Austin,NYG,WR,K,-,215.50
Luke McCaffrey,WAS,WR,K,-,217.00
Ty Johnson,BUF,RB,K,-,217.67
DJ Giddens,IND,RB,K,-,219.50
Tez Johnson,TB,WR,K,-,222.33
Bryce Lance,NO,WR,K,-,222.50
Charlie Kolar,LAC,TE,K,-,223.33
Isaiah Davis,NYJ,RB,K,-,224.00
Kendre Miller,NO,RB,K,-,224.50
Cedric Tillman,CLE,WR,K,-,226.50
Max Klare,LAR,TE,K,-,228.00
Isaac Guerendo,SF,RB,K,-,230.50
Eli Stowers,,TE,K,-,233.00
Seth McGowan,IND,RB,K,-,235.33
Eli Raridon,NE,TE,K,-,236.00
Kaleb Johnson,PIT,RB,K,-,236.00
Trey Benson,ARI,RB,K,-,236.67
Xavier Legette,CAR,WR,K,-,239.25
Hollywood Brown,PHI,WR,K,-,240.00
Devin Neal,NO,RB,K,-,241.00
Mack Hollins,NE,WR,K,-,243.00
Konata Mumpfield,LAR,WR,K,-,244.50
Trevor Etienne,CAR,RB,K,-,245.00
Olamide Zaccheaus,ATL,WR,K,-,245.50
Darren Waller,CAR,TE,K,-,248.33
Mason Taylor,NYJ,TE,K,-,253.00
Joshua Palmer,BUF,WR,K,-,253.33
Jaylin Lane,WAS,WR,K,-,259.00
Ty Simpson,LAR,QB,K,-,267.00
