Name,Team,Position,Expert Rank
Brandon Aubrey,DAL,K,0.00
Ka'imi Fairbairn,HOU,K,0.00
Cameron Dicker,LAC,K,0.00
Cam Little,JAX,K,0.00
Tyler Loop,BAL,K,0.00
Jake Bates,DET,K,0.00
Eddy Pineiro,SF,K,0.00
Evan McPherson,CIN,K,0.00
Chris Boswell,PIT,K,0.00
Cairo Santos,CHI,K,0.00
Andy Borregales,NE,K,0.00
Harrison Mevis,LAR,K,0.00
Wil Lutz,DEN,K,0.00
Chase McLaughlin,TB,K,0.00
Will Reichard,MIN,K,0.00
Jake Elliott,PHI,K,0.00
Charlie Smyth,NO,K,0.00
Tyler Bass,BUF,K,0.00
Nick Folk,ATL,K,0.00
Chad Ryland,ARI,K,0.00
Ryan Fitzgerald,CAR,K,0.00
Trey Smack,GB,K,0.00
Joey Slye,TEN,K,0.00
Ben Sauls,NYG,K,0.00
Zane Gonzalez,MIA,K,0.00
Andre Szmyt,CLE,K,0.00
Mike Meyer,,K,0.00
Jason Myers,SEA,K,0.00
Harrison Butker,KC,K,0.00
Spencer Shrader,IND,K,0.00
Matt Gay,LV,K,0.00
Blake Grupe,IND,K,0.00
Younghoe Koo,,K,0.00
Daniel Carlson,,K,0.00
Jake Moody,WAS,K,0.00
Jason Sanders,NYJ,K,0.00
